,Rank (2017),City,Counties,State,Mayor,Nickname,Population Estimate (2017),2010 Census,Change,2016 Land Area (sq mi),2016 Population Density (per sq mi),"Location (N,W)"
0,1.0,New York City,"Bronx (The Bronx), Kings (Brooklyn), New York (Manhattan), Queens (Queens), Richmond (Staten Island), ",New York,Bill de Blasio ,The Big Apple,8398748,8175133,+2.74%,301.5,28317,"(40.6635, 73.9387)"
1,2.0,Los Angeles,Los Angeles,California,Eric Garcetti ,L.A.,3990456,3792621,+5.22%,468.7,8484,"(34.0194, 118.4108)"
2,3.0,Chicago,"Cook, DuPage",Illinois,Lori Lightfoot , Windy City,2705994,2695598,+0.39%,227.3,11900,"(41.8376, 87.6818)"
3,4.0,Houston,"Harris, Fort Bend, Montgomery",Texas,Sylvester Turner ,Space City ,2325502,2100263,+10.72%,637.5,3613,"(29.7866, 95.3909)"
4,5.0,Phoenix,Maricopa,Arizona,Kate Gallego,"""Valley of the Sun""",1660272,1445632,+14.85%,517.6,3120,"(33.5722, 112.0901)"
5,6.0,Philadelphia,Philadelphia,Pennsylvania,Jim Kenney ,"""Philly""",1584138,1526006,+3.81%,134.2,11683,"(40.0094, 75.1333)"
6,7.0,San Antonio,"Bexar, Medina, Comal",Texas,Ron Nirenberg ,San Antone ,1532233,1327407,+15.43%,461.0,3238,"(29.4724, 98.5251)"
7,8.0,San Diego,San Diego,California,Kevin Faulconer ,"""America's Finest City""",1425976,1307402,+9.07%,325.2,4325,"(32.8153, 117.1350)"
8,9.0,Dallas,"Dallas, Collin, Denton, Rockwall, Kaufman",Texas,Mike Rawlings , Big D,1345047,1197816,+12.29%,340.9,3866,"(32.7933, 96.7665)"
9,10.0,San Jose,Santa Clara,California,Sam Liccardo ,None,1030119,945942,+8.90%,177.5,5777,"(37.2967, 121.8189)"
10,11.0,Austin,"Hays, Travis, Williamson",Texas,Steve Adler , Live Music Capital of the World,964254,790390,+22.00%,312.7,3031,"(30.3039, 97.7544)"
11,12.0,Jacksonville,Duval,Florida,Lenny Curry ,"""Jax""",903889,821784,+9.99%,747.4,1178,"(30.3369, 81.6616)"
12,13.0,Fort Worth,"Tarrant, Denton, Parker, Wise",Texas,Betsy Price , Cowtown,895008,741206,+20.75%,342.9,2491,"(32.7815, 97.3467)"
13,14.0,Columbus,"Delaware, Fairfield, Franklin, Pickaway",Ohio,Andrew J. Ginther , The Discovery City,892533,787033,+13.40%,218.5,3936,"(39.9852, 82.9848)"
14,15.0,San Francisco,San Francisco,California,London Breed ,See List of nicknames for San Francisco ,883305,805235,+9.70%,46.9,18569,"(37.7272, 123.0322)"
15,16.0,Charlotte,Mecklenburg,North Carolina,Vi Lyles , The Queen City,872498,731424,+19.29%,305.4,2757,"(35.2078, 80.8310)"
16,17.0,Indianapolis,Marion,Indiana,Joe Hogsett ,"""Indy""",867125,820445,+5.69%,361.5,2366,"(39.7767, 86.1459)"
17,18.0,Seattle,King,Washington,Jenny Durkan ,The Emerald City,744955,608660,+22.39%,83.8,8405,"(47.6205, 122.3509)"
18,19.0,Denver,Denver,Colorado,Michael Hancock , The Mile High City,716492,600158,+19.38%,153.3,4521,"(39.7619, 104.8811)"
19,20.0,"Washington, D.C.","Washington, D.C.",District of Columbia,Muriel Bowser ,None,702455,601723,+16.74%,61.1,11148,"(38.9041, 77.0172)"
